Year,Country,,GDP,GE,ME,"Population, total",GDPc,GEc,MEc
2000,India,,6.03E+11,58540173548,17771828665,1053481072,602.6534834,58.54017355,17.77182866
2001,India,,6.32E+11,59633454348,18474398816,1071888190,631.7252841,59.63345435,18.47439882
2002,India,,6.56E+11,59425811308,18537348027,1090189358,655.755958,59.42581131,18.53734803
2003,India,,7.07E+11,61187366449,18939939898,1108369577,707.3008778,61.18736645,18.9399399
2004,India,,7.63E+11,61719957649,21592994478,1126419321,763.3398781,61.71995765,21.59299448
2005,India,,8.34E+11,67731130312,22981845366,1144326293,834.2146996,67.73113031,22.98184537
2006,India,,9.11E+11,71105685457,23031760456,1162088305,911.4960065,71.10568546,23.03176046
2007,India,,1.00E+12,79701577074,23445901008,1179685631,1000.835015,79.70157707,23.44590101
2008,India,,1.04E+12,87333207253,26516327819,1197070109,1039.777075,87.33320725,26.51632782
2009,India,,1.13E+12,97014729766,32637142112,1214182182,1127.947952,97.01472977,32.63714211
2010,India,,1.24E+12,1.03E+11,33672078391,1230984504,1243.674995,103.4627733,33.67207839
2011,India,,1.33E+12,1.12E+11,34784103336,1247446011,1326.234537,111.7579363,34.78410334
2012,India,,1.39E+12,1.14E+11,35203480780,1263589639,1393.626056,113.8523749,35.20348078
2013,India,,1.49E+12,1.25E+11,36475351767,1279498874,1489.775345,124.7474624,36.47535177
2014,India,,1.60E+12,1.33E+11,38874788654,1295291543,1598.32415,132.9894756,38.87478865
